"","Rank","Measure","NMI","statistic","p.value","p.fdr","Etasq"
"88",27,"R_lateraloccipital_thickavg",0.132,0.473,"n.s","NULL",0.0075
"56",28,"L_superiorfrontal_thickavg",0.131,1.69,"n.s","NULL",0.029
"91",29,"R_medialorbitofrontal_thickavg",0.127,1.23,"n.s","NULL",0.021
"49",30,"L_pericalcarine_thickavg",0.126,0.6,"n.s","NULL",0.012
"30",31,"L_caudalmiddlefrontal_thickavg",0.123,1.41,"n.s","NULL",0.022
"79",32,"R_caudalmiddlefrontal_thickavg",0.119,1.75,"n.s","NULL",0.028
"99",33,"R_postcentral_thickavg",0.118,0.585,"n.s","NULL",0.011
"47",34,"L_parsorbitalis_thickavg",0.115,2.88,"0.0385","NULL",0.047
"118",35,"Rpal",0.115,0.728,"n.s","NULL",0.014
"52",36,"L_precentral_thickavg",0.114,0.342,"n.s","NULL",0.0058
"58",37,"L_superiortemporal_thickavg",0.112,0.33,"n.s","NULL",0.006
"28",38,"L_bankssts_thickavg",0.111,0.71,"n.s","NULL",0.012
"53",39,"L_precuneus_thickavg",0.111,0.287,"n.s","NULL",0.0051
"124",40,"SCQTOT",0.107,2.89,"0.0382","NULL",0.046
"119",41,"Rput",0.106,2.07,"n.s","NULL",0.038
"42",42,"L_medialorbitofrontal_thickavg",0.104,1.32,"n.s","NULL",0.022
"107",43,"R_superiortemporal_thickavg",0.102,0.222,"n.s","NULL",0.0041
"96",44,"R_parsorbitalis_thickavg",0.101,0.762,"n.s","NULL",0.014
"102",45,"R_precuneus_thickavg",0.1,0.919,"n.s","NULL",0.016
"120",46,"Rthal",0.099,0.296,"n.s","NULL",0.0054
"111",47,"Raccumb",0.0981,0.445,"n.s","NULL",0.0079
"95",48,"R_parsopercularis_thickavg",0.0974,0.445,"n.s","NULL",0.008
"93",49,"R_paracentral_thickavg",0.0937,0.301,"n.s","NULL",0.0058
"110",50,"R_transversetemporal_thickavg",0.0927,0.115,"n.s","NULL",0.0021
"77",51,"R_bankssts_thickavg",0.0925,3.7,"0.0136","NULL",0.066
"90",52,"R_lingual_thickavg",0.092,0.15,"n.s","NULL",0.0025
"68",53,"Lthal",0.0917,0.173,"n.s","NULL",0.0032
"133",54,"TPOCS_TOT",0.0916,0.311,"n.s","NULL",0.0059
"114",55,"Rcaud",0.0913,1.47,"n.s","NULL",0.028
"98",56,"R_pericalcarine_thickavg",0.0898,0.583,"n.s","NULL",0.011
"8",57,"CB68EPTOT",0.0879,0.46,"n.s","NULL",0.0095
"31",58,"L_cuneus_thickavg",0.0877,1.65,"n.s","NULL",0.03
"67",59,"Lput",0.0873,1.5,"n.s","NULL",0.027
"44",60,"L_paracentral_thickavg",0.0862,0.606,"n.s","NULL",0.012
"57",61,"L_superiorparietal_thickavg",0.0842,0.381,"n.s","NULL",0.007
"64",62,"Lcaud",0.0837,1.16,"n.s","NULL",0.023
"62",63,"Laccumb",0.0827,1.06,"n.s","NULL",0.019
"33",64,"L_frontalpole_thickavg",0.0746,1.06,"n.s","NULL",0.02
"61",65,"L_transversetemporal_thickavg",0.074,0.56,"n.s","NULL",0.01
"54",66,"L_rostralanteriorcingulate_thickavg",0.0735,1.85,"n.s","NULL",0.035
"87",67,"R_isthmuscingulate_thickavg",0.0726,3.69,"0.0137","NULL",0.068
"106",68,"R_superiorparietal_thickavg",0.0717,1.46,"n.s","NULL",0.027
"65",69,"Lhippo",0.0688,0.866,"n.s","NULL",0.015
"82",70,"R_frontalpole_thickavg",0.064,0.0654,"n.s","NULL",0.0013
"38",71,"L_isthmuscingulate_thickavg",0.0595,0.935,"n.s","NULL",0.02
"94",72,"R_parahippocampal_thickavg",0.0583,0.913,"n.s","NULL",0.019
"115",73,"Rhippo",0.057,1.17,"n.s","NULL",0.021
"51",74,"L_posteriorcingulate_thickavg",0.0562,1.42,"n.s","NULL",0.03
"80",75,"R_cuneus_thickavg",0.0558,1.16,"n.s","NULL",0.023
"45",76,"L_parahippocampal_thickavg",0.0555,2.16,"n.s","NULL",0.041
"5",77,"ALIC.L",0.0551,0.119,"n.s","NULL",0.0024
"60",78,"L_temporalpole_thickavg",0.055,0.309,"n.s","NULL",0.0062
"103",79,"R_rostralanteriorcingulate_thickavg",0.0548,1.53,"n.s","NULL",0.031
"9",80,"CB68IPTOT",0.0542,0.661,"n.s","NULL",0.013
"66",81,"Lpal",0.0528,0.269,"n.s","NULL",0.0058
"100",82,"R_posteriorcingulate_thickavg",0.0513,0.722,"n.s","NULL",0.015
"117",83,"RLIC.R",0.0476,0.347,"n.s","NULL",0.0075
"112",84,"Ramyg",0.0448,1.4,"n.s","NULL",0.028
"109",85,"R_temporalpole_thickavg",0.0442,0.618,"n.s","NULL",0.012
"131",86,"SS.L",0.0434,0.926,"n.s","NULL",0.02
"12",87,"CGH.L",0.0433,0.204,"n.s","NULL",0.0044
"74",88,"PLIC.R",0.0412,0.0677,"n.s","NULL",0.0014
"13",89,"CGH.R",0.0406,1.15,"n.s","NULL",0.025
"71",90,"PCR.L",0.0403,0.551,"n.s","NULL",0.012
"21",91,"FX.ST.L",0.039,1.27,"n.s","NULL",0.026
"15",92,"CP.R",0.0385,0.0874,"n.s","NULL",0.0018
"10",93,"CGC.L",0.0383,0.311,"n.s","NULL",0.0059
"135",94,"UNC.R",0.0357,0.235,"n.s","NULL",0.0054
"20",95,"FX",0.0354,0.158,"n.s","NULL",0.0034
"29",96,"L_caudalanteriorcingulate_thickavg",0.0349,0.777,"n.s","NULL",0.016
"11",97,"CGC.R",0.0347,0.161,"n.s","NULL",0.0028
"63",98,"Lamyg",0.0346,2.57,"n.s","NULL",0.05
"18",99,"EC.L",0.034,1.48,"n.s","NULL",0.032
"25",100,"ICP.R",0.0336,0.546,"n.s","NULL",0.012
"32",101,"L_entorhinal_thickavg",0.0328,0.143,"n.s","NULL",0.0031
"132",102,"SS.R",0.0326,0.354,"n.s","NULL",0.0076
"14",103,"CP.L",0.0317,0.264,"n.s","NULL",0.0056
"78",104,"R_caudalanteriorcingulate_thickavg",0.0304,1.1,"n.s","NULL",0.025
"16",105,"CST.L",0.029,0.501,"n.s","NULL",0.011
"81",106,"R_entorhinal_thickavg",0.0285,0.365,"n.s","NULL",0.0074
"6",107,"ALIC.R",0.0283,0.215,"n.s","NULL",0.0048
"134",108,"UNC.L",0.0279,0.712,"n.s","NULL",0.016
"129",109,"SLF.L",0.0276,0.57,"n.s","NULL",0.012
"1",110,"ACR.L",0.0273,0.446,"n.s","NULL",0.01
"113",111,"RBSALLT",0.0272,0.204,"n.s","NULL",0.0043
"70",112,"ML.R",0.027,1.02,"n.s","NULL",0.023
"130",113,"SLF.R",0.0267,1.14,"n.s","NULL",0.024
"24",114,"ICP.L",0.0263,0.356,"n.s","NULL",0.0076
"123",115,"SCP.R",0.0255,0.697,"n.s","NULL",0.013
"125",116,"SCR.L",0.0253,0.0741,"n.s","NULL",0.0017
"73",117,"PLIC.L",0.0242,0.147,"n.s","NULL",0.0032
"116",118,"RLIC.L",0.0242,0.24,"n.s","NULL",0.0054
"72",119,"PCR.R",0.024,0.706,"n.s","NULL",0.015
"23",120,"GCC",0.0239,0.376,"n.s","NULL",0.0083
"76",121,"PTR.R",0.0238,0.685,"n.s","NULL",0.015
"19",122,"EC.R",0.0234,1.37,"n.s","NULL",0.029
"27",123,"IFO.R",0.0231,1.13,"n.s","NULL",0.025
"126",124,"SCR.R",0.0203,0.564,"n.s","NULL",0.013
"7",125,"BCC",0.0203,0.861,"n.s","NULL",0.018
"69",126,"ML.L",0.02,0.42,"n.s","NULL",0.0095
"26",127,"IFO.L",0.0175,2.53,"n.s","NULL",0.055
"127",128,"SFO.L",0.0169,2.03,"n.s","NULL",0.043
"2",129,"ACR.R",0.0162,1.08,"n.s","NULL",0.024
"121",130,"SCC",0.0153,0.683,"n.s","NULL",0.015
"128",131,"SFO.R",0.0135,0.445,"n.s","NULL",0.0099
"22",132,"FX.ST.R",0.0124,0.162,"n.s","NULL",0.0035
"17",133,"CST.R",0.0117,0.456,"n.s","NULL",0.0092
"122",134,"SCP.L",0.00909,1.25,"n.s","NULL",0.024
"75",135,"PTR.L",0.00797,0.412,"n.s","NULL",0.0095
