"","Rank","Measure","NMI","statistic","p.value","p.fdr","Etasq"
"107",43,"R_superiortemporal_thickavg",0.102,1.21,"n.s","NULL",0.022
"96",44,"R_parsorbitalis_thickavg",0.101,0.302,"n.s","NULL",0.0057
"102",45,"R_precuneus_thickavg",0.1,0.387,"n.s","NULL",0.0069
"120",46,"Rthal",0.099,0.722,"n.s","NULL",0.013
"111",47,"Raccumb",0.0981,0.152,"n.s","NULL",0.0028
"95",48,"R_parsopercularis_thickavg",0.0974,1.28,"n.s","NULL",0.022
"93",49,"R_paracentral_thickavg",0.0937,0.204,"n.s","NULL",0.0039
"110",50,"R_transversetemporal_thickavg",0.0927,0.699,"n.s","NULL",0.013
"77",51,"R_bankssts_thickavg",0.0925,0.892,"n.s","NULL",0.017
"90",52,"R_lingual_thickavg",0.092,0.336,"n.s","NULL",0.0055
"68",53,"Lthal",0.0917,0.168,"n.s","NULL",0.0029
"133",54,"TPOCS_TOT",0.0916,1.14,"n.s","NULL",0.022
"114",55,"Rcaud",0.0913,0.281,"n.s","NULL",0.0054
"98",56,"R_pericalcarine_thickavg",0.0898,0.514,"n.s","NULL",0.0097
"8",57,"CB68EPTOT",0.0879,0.11,"n.s","NULL",0.0022
"31",58,"L_cuneus_thickavg",0.0877,0.539,"n.s","NULL",0.0098
"67",59,"Lput",0.0873,1.35,"n.s","NULL",0.025
"44",60,"L_paracentral_thickavg",0.0862,0.149,"n.s","NULL",0.0029
"57",61,"L_superiorparietal_thickavg",0.0842,0.449,"n.s","NULL",0.008
"64",62,"Lcaud",0.0837,0.463,"n.s","NULL",0.0093
"62",63,"Laccumb",0.0827,0.542,"n.s","NULL",0.0095
"33",64,"L_frontalpole_thickavg",0.0746,1.03,"n.s","NULL",0.02
"61",65,"L_transversetemporal_thickavg",0.074,0.704,"n.s","NULL",0.013
"54",66,"L_rostralanteriorcingulate_thickavg",0.0735,0.513,"n.s","NULL",0.0096
"87",67,"R_isthmuscingulate_thickavg",0.0726,0.569,"n.s","NULL",0.011
"106",68,"R_superiorparietal_thickavg",0.0717,2.14,"n.s","NULL",0.038
"65",69,"Lhippo",0.0688,0.609,"n.s","NULL",0.011
"82",70,"R_frontalpole_thickavg",0.064,0.532,"n.s","NULL",0.011
"38",71,"L_isthmuscingulate_thickavg",0.0595,0.652,"n.s","NULL",0.014
"94",72,"R_parahippocampal_thickavg",0.0583,1.09,"n.s","NULL",0.022
"115",73,"Rhippo",0.057,0.763,"n.s","NULL",0.014
"51",74,"L_posteriorcingulate_thickavg",0.0562,1.92,"n.s","NULL",0.04
"80",75,"R_cuneus_thickavg",0.0558,0.601,"n.s","NULL",0.012
"45",76,"L_parahippocampal_thickavg",0.0555,1.74,"n.s","NULL",0.034
"5",77,"ALIC.L",0.0551,1.12,"n.s","NULL",0.022
"60",78,"L_temporalpole_thickavg",0.055,0.875,"n.s","NULL",0.018
"103",79,"R_rostralanteriorcingulate_thickavg",0.0548,0.447,"n.s","NULL",0.0091
"9",80,"CB68IPTOT",0.0542,1.7,"n.s","NULL",0.032
"66",81,"Lpal",0.0528,0.784,"n.s","NULL",0.016
"100",82,"R_posteriorcingulate_thickavg",0.0513,0.927,"n.s","NULL",0.019
"117",83,"RLIC.R",0.0476,0.062,"n.s","NULL",0.0013
"112",84,"Ramyg",0.0448,0.0373,"n.s","NULL",0.00078
"109",85,"R_temporalpole_thickavg",0.0442,0.0636,"n.s","NULL",0.0013
"131",86,"SS.L",0.0434,0.142,"n.s","NULL",0.003
"12",87,"CGH.L",0.0433,0.271,"n.s","NULL",0.0058
"74",88,"PLIC.R",0.0412,0.745,"n.s","NULL",0.015
"13",89,"CGH.R",0.0406,0.495,"n.s","NULL",0.011
"71",90,"PCR.L",0.0403,0.242,"n.s","NULL",0.0054
"21",91,"FX.ST.L",0.039,1.33,"n.s","NULL",0.027
"15",92,"CP.R",0.0385,0.931,"n.s","NULL",0.019
"10",93,"CGC.L",0.0383,0.678,"n.s","NULL",0.013
"135",94,"UNC.R",0.0357,0.916,"n.s","NULL",0.021
"20",95,"FX",0.0354,1.41,"n.s","NULL",0.03
"29",96,"L_caudalanteriorcingulate_thickavg",0.0349,2.02,"n.s","NULL",0.041
"11",97,"CGC.R",0.0347,0.0773,"n.s","NULL",0.0014
"63",98,"Lamyg",0.0346,1.72,"n.s","NULL",0.034
"18",99,"EC.L",0.034,0.766,"n.s","NULL",0.017
"25",100,"ICP.R",0.0336,0.327,"n.s","NULL",0.007
"32",101,"L_entorhinal_thickavg",0.0328,2.19,"n.s","NULL",0.045
"132",102,"SS.R",0.0326,0.579,"n.s","NULL",0.012
"14",103,"CP.L",0.0317,0.805,"n.s","NULL",0.017
"78",104,"R_caudalanteriorcingulate_thickavg",0.0304,0.886,"n.s","NULL",0.02
"16",105,"CST.L",0.029,0.45,"n.s","NULL",0.01
"81",106,"R_entorhinal_thickavg",0.0285,1.67,"n.s","NULL",0.032
"6",107,"ALIC.R",0.0283,0.299,"n.s","NULL",0.0065
"134",108,"UNC.L",0.0279,0.451,"n.s","NULL",0.01
"129",109,"SLF.L",0.0276,0.632,"n.s","NULL",0.013
"1",110,"ACR.L",0.0273,0.268,"n.s","NULL",0.0062
"113",111,"RBSALLT",0.0272,1.39,"n.s","NULL",0.028
"70",112,"ML.R",0.027,0.0467,"n.s","NULL",0.0011
"130",113,"SLF.R",0.0267,0.409,"n.s","NULL",0.0087
"24",114,"ICP.L",0.0263,0.526,"n.s","NULL",0.011
"123",115,"SCP.R",0.0255,0.277,"n.s","NULL",0.0054
"125",116,"SCR.L",0.0253,0.384,"n.s","NULL",0.0089
"73",117,"PLIC.L",0.0242,0.633,"n.s","NULL",0.014
"116",118,"RLIC.L",0.0242,0.33,"n.s","NULL",0.0075
"72",119,"PCR.R",0.024,0.461,"n.s","NULL",0.01
"23",120,"GCC",0.0239,0.101,"n.s","NULL",0.0022
"76",121,"PTR.R",0.0238,0.581,"n.s","NULL",0.013
"19",122,"EC.R",0.0234,0.084,"n.s","NULL",0.0018
"27",123,"IFO.R",0.0231,0.366,"n.s","NULL",0.0082
"126",124,"SCR.R",0.0203,0.323,"n.s","NULL",0.0073
"7",125,"BCC",0.0203,0.48,"n.s","NULL",0.01
"69",126,"ML.L",0.02,0.194,"n.s","NULL",0.0044
"26",127,"IFO.L",0.0175,2.22,"n.s","NULL",0.049
"127",128,"SFO.L",0.0169,1.13,"n.s","NULL",0.025
"2",129,"ACR.R",0.0162,0.195,"n.s","NULL",0.0045
"121",130,"SCC",0.0153,0.279,"n.s","NULL",0.0062
"128",131,"SFO.R",0.0135,0.247,"n.s","NULL",0.0056
"22",132,"FX.ST.R",0.0124,1.29,"n.s","NULL",0.027
"17",133,"CST.R",0.0117,0.724,"n.s","NULL",0.015
"122",134,"SCP.L",0.00909,0.256,"n.s","NULL",0.0052
"75",135,"PTR.L",0.00797,0.107,"n.s","NULL",0.0025
