"","Rank","Measure","NMI","statistic","p.fdr","Etasq"
"28",38,"L_bankssts_thickavg",0.111,1.73,"n.s     ",0.025
"53",39,"L_precuneus_thickavg",0.111,1.33,"n.s     ",0.016
"124",40,"SCQTOT",0.107,56.1,"3.63e-16",0.45
"119",41,"Rput",0.106,0.276,"n.s     ",0.0034
"42",42,"L_medialorbitofrontal_thickavg",0.104,1.13,"n.s     ",0.014
"107",43,"R_superiortemporal_thickavg",0.102,1.06,"n.s     ",0.016
"96",44,"R_parsorbitalis_thickavg",0.101,0.689,"n.s     ",0.01
"102",45,"R_precuneus_thickavg",0.1,0.766,"n.s     ",0.0097
"120",46,"Rthal",0.099,0.337,"n.s     ",0.005
"111",47,"Raccumb",0.0981,1.41,"n.s     ",0.019
"95",48,"R_parsopercularis_thickavg",0.0974,1.15,"n.s     ",0.017
"93",49,"R_paracentral_thickavg",0.0937,0.0824,"n.s     ",0.0012
"110",50,"R_transversetemporal_thickavg",0.0927,1.49,"n.s     ",0.022
"77",51,"R_bankssts_thickavg",0.0925,0.681,"n.s     ",0.0095
"90",52,"R_lingual_thickavg",0.092,1.57,"n.s     ",0.019
"68",53,"Lthal",0.0917,0.912,"n.s     ",0.014
"133",54,"TPOCS_TOT",0.0916,17,"1.39e-05",0.2
"114",55,"Rcaud",0.0913,0.339,"n.s     ",0.0047
"98",56,"R_pericalcarine_thickavg",0.0898,2.04,"n.s     ",0.028
"8",57,"CB68EPTOT",0.0879,2.69,"n.s     ",0.039
"31",58,"L_cuneus_thickavg",0.0877,2.2,"n.s     ",0.027
"67",59,"Lput",0.0873,0.779,"n.s     ",0.0096
"44",60,"L_paracentral_thickavg",0.0862,0.727,"n.s     ",0.0098
"57",61,"L_superiorparietal_thickavg",0.0842,0.156,"n.s     ",0.0021
"64",62,"Lcaud",0.0837,0.0954,"n.s     ",0.0014
"62",63,"Laccumb",0.0827,0.322,"n.s     ",0.0045
"33",64,"L_frontalpole_thickavg",0.0746,2.58,"n.s     ",0.038
"61",65,"L_transversetemporal_thickavg",0.074,2.04,"n.s     ",0.029
"54",66,"L_rostralanteriorcingulate_thickavg",0.0735,0.932,"n.s     ",0.011
"87",67,"R_isthmuscingulate_thickavg",0.0726,2.47,"n.s     ",0.036
"106",68,"R_superiorparietal_thickavg",0.0717,0.7,"n.s     ",0.0096
"65",69,"Lhippo",0.0688,0.486,"n.s     ",0.0071
"82",70,"R_frontalpole_thickavg",0.064,1.67,"n.s     ",0.024
"38",71,"L_isthmuscingulate_thickavg",0.0595,3.99,"n.s     ",0.057
"94",72,"R_parahippocampal_thickavg",0.0583,0.715,"n.s     ",0.01
"115",73,"Rhippo",0.057,0.345,"n.s     ",0.0051
"51",74,"L_posteriorcingulate_thickavg",0.0562,0.517,"n.s     ",0.0076
"80",75,"R_cuneus_thickavg",0.0558,2.07,"n.s     ",0.026
"45",76,"L_parahippocampal_thickavg",0.0555,2.86,"n.s     ",0.04
"5",77,"ALIC.L",0.0551,0.536,"n.s     ",0.0069
"60",78,"L_temporalpole_thickavg",0.055,0.522,"n.s     ",0.0078
"103",79,"R_rostralanteriorcingulate_thickavg",0.0548,2.8,"n.s     ",0.038
"9",80,"CB68IPTOT",0.0542,0.382,"n.s     ",0.0054
"66",81,"Lpal",0.0528,0.245,"n.s     ",0.0037
"100",82,"R_posteriorcingulate_thickavg",0.0513,0.412,"n.s     ",0.0062
"117",83,"RLIC.R",0.0476,0.135,"n.s     ",0.002
"112",84,"Ramyg",0.0448,0.448,"n.s     ",0.0068
"109",85,"R_temporalpole_thickavg",0.0442,0.278,"n.s     ",0.004
"131",86,"SS.L",0.0434,1.26,"n.s     ",0.017
"12",87,"CGH.L",0.0433,4.36,"n.s     ",0.058
"74",88,"PLIC.R",0.0412,1.28,"n.s     ",0.019
"13",89,"CGH.R",0.0406,0.77,"n.s     ",0.011
"71",90,"PCR.L",0.0403,0.182,"n.s     ",0.0026
"21",91,"FX.ST.L",0.039,0.395,"n.s     ",0.0056
"15",92,"CP.R",0.0385,1.55,"n.s     ",0.02
"10",93,"CGC.L",0.0383,1.76,"n.s     ",0.021
"135",94,"UNC.R",0.0357,0.0953,"n.s     ",0.0015
"20",95,"FX",0.0354,0.524,"n.s     ",0.0079
"29",96,"L_caudalanteriorcingulate_thickavg",0.0349,0.88,"n.s     ",0.012
"11",97,"CGC.R",0.0347,0.697,"n.s     ",0.0084
"63",98,"Lamyg",0.0346,0.0384,"n.s     ",0.00059
"18",99,"EC.L",0.034,0.478,"n.s     ",0.0069
"25",100,"ICP.R",0.0336,0.717,"n.s     ",0.01
"32",101,"L_entorhinal_thickavg",0.0328,0.283,"n.s     ",0.0043
"132",102,"SS.R",0.0326,0.447,"n.s     ",0.0063
"14",103,"CP.L",0.0317,1.89,"n.s     ",0.025
"78",104,"R_caudalanteriorcingulate_thickavg",0.0304,0.795,"n.s     ",0.012
"16",105,"CST.L",0.029,0.141,"n.s     ",0.002
"81",106,"R_entorhinal_thickavg",0.0285,0.474,"n.s     ",0.007
"6",107,"ALIC.R",0.0283,3.35,"n.s     ",0.046
"134",108,"UNC.L",0.0279,0.359,"n.s     ",0.0054
"129",109,"SLF.L",0.0276,0.483,"n.s     ",0.0065
"1",110,"ACR.L",0.0273,1.43,"n.s     ",0.021
"113",111,"RBSALLT",0.0272,16.9,"1.39e-05",0.2
"70",112,"ML.R",0.027,0.509,"n.s     ",0.0076
"130",113,"SLF.R",0.0267,0.655,"n.s     ",0.0089
"24",114,"ICP.L",0.0263,0.677,"n.s     ",0.0093
"123",115,"SCP.R",0.0255,4.28,"n.s     ",0.051
"125",116,"SCR.L",0.0253,0.0139,"n.s     ",0.00021
"73",117,"PLIC.L",0.0242,0.437,"n.s     ",0.0065
"116",118,"RLIC.L",0.0242,0.509,"n.s     ",0.0077
"72",119,"PCR.R",0.024,0.04,"n.s     ",0.00057
"23",120,"GCC",0.0239,1.67,"n.s     ",0.024
"76",121,"PTR.R",0.0238,0.0804,"n.s     ",0.0012
"19",122,"EC.R",0.0234,1.34,"n.s     ",0.018
"27",123,"IFO.R",0.0231,1.87,"n.s     ",0.027
"126",124,"SCR.R",0.0203,1.05,"n.s     ",0.015
"7",125,"BCC",0.0203,1.46,"n.s     ",0.02
"69",126,"ML.L",0.02,0.17,"n.s     ",0.0025
"26",127,"IFO.L",0.0175,0.0341,"n.s     ",0.00051
"127",128,"SFO.L",0.0169,0.401,"n.s     ",0.0059
"2",129,"ACR.R",0.0162,2,"n.s     ",0.029
"121",130,"SCC",0.0153,0.217,"n.s     ",0.0032
"128",131,"SFO.R",0.0135,2.56,"n.s     ",0.037
"22",132,"FX.ST.R",0.0124,0.814,"n.s     ",0.012
"17",133,"CST.R",0.0117,0.0325,"n.s     ",0.00044
"122",134,"SCP.L",0.00909,2.07,"n.s     ",0.028
"75",135,"PTR.L",0.00797,0.647,"n.s     ",0.0097
